date,open,high,low,close,change,ADX,EMA_12,KAMA,MA_10,MACD,MACD_signal,MACD_hist,RSI,PSAR,SMA_20
2002/1/2,1148.08,1154.67,1136.23,1154.67,0.57%,,,,,,,,,,
2002/1/3,1154.67,1165.27,1154.01,1165.27,0.92%,,,,,,,,100.0,1165.27,
2002/1/4,1165.27,1176.55,1163.42,1172.51,0.62%,,,,,,,,100.0,1154.01,
2002/1/7,1172.51,1176.97,1163.55,1164.89,-0.65%,,,,,,,,94.65,1154.46,
2002/1/8,1164.89,1167.6,1157.46,1160.71,-0.36%,,,,,,,,91.74,1155.36,
2002/1/9,1160.71,1174.26,1151.89,1155.14,-0.48%,,,,,,,,87.88,1176.97,
2002/1/10,1155.14,1159.93,1150.85,1156.55,0.12%,,,,,,,,88.01,1176.47,
2002/1/11,1156.55,1159.41,1145.45,1145.6,-0.95%,,,,,,,,80.38,1175.44,
2002/1/14,1145.6,1145.6,1138.15,1138.41,-0.63%,,,,,,,,75.73,1173.64,
2002/1/15,1138.41,1148.81,1136.88,1146.19,0.68%,,,1155.99,1155.99,,,,77.26,1170.8,
2002/1/16,1146.19,1146.19,1127.49,1127.57,-1.62%,,,1153.99,1153.28,,,,66.45,1167.41,
2002/1/17,1127.57,1139.27,1127.57,1138.88,1.00%,,1152.2,1152.98,1150.64,,,,69.27,1162.62,
2002/1/18,1138.88,1138.88,1124.45,1127.58,-0.99%,,1148.41,1149.32,1146.15,,,,63.53,1158.41,
2002/1/22,1127.58,1135.26,1117.91,1119.31,-0.73%,42.43,1143.93,1144.95,1141.59,,,,59.64,1153.65,
2002/1/23,1119.31,1131.94,1117.43,1128.18,0.79%,42.38,1141.51,1143.65,1138.34,,,,62.31,1147.93,
2002/1/24,1128.18,1139.5,1128.18,1132.15,0.35%,42.66,1140.07,1143.1,1136.04,,,,63.47,1142.44,
2002/1/25,1132.15,1138.31,1127.82,1133.28,0.10%,42.88,1139.03,1142.62,1133.72,,,,63.81,1117.43,
2002/1/28,1133.28,1138.63,1126.66,1133.06,-0.02%,42.94,1138.11,1142.37,1132.46,,,,63.69,1117.85,
2002/1/29,1133.06,1137.47,1098.74,1100.64,-2.86%,40.28,1132.34,1139.02,1128.68,,,,48.58,1138.63,
2002/1/30,1100.64,1113.79,1081.66,1113.57,1.17%,38.11,1129.46,1137.49,1125.42,,,,53.33,1137.83,1140.71
2002/1/31,1113.57,1130.21,1113.3,1130.2,1.49%,35.73,1129.57,1137.45,1125.68,,,,58.63,1135.59,1139.48
2002/2/1,1130.2,1130.2,1118.51,1122.2,-0.71%,33.51,1128.44,1137.05,1124.02,,,,55.37,1133.43,1137.33
2002/2/4,1122.2,1122.2,1092.25,1094.44,-2.47%,32.26,1123.21,1134.79,1120.7,,,,45.85,1131.36,1133.43
2002/2/5,1094.44,1100.96,1082.58,1090.02,-0.40%,31.54,1118.1,1132.7,1117.77,,,,44.54,1129.37,1129.68
2002/2/6,1090.02,1093.58,1077.78,1083.51,-0.60%,31.07,1112.78,1128.26,1113.31,,,,42.61,1127.46,1125.82
2002/2/7,1083.51,1094.03,1078.44,1080.17,-0.31%,30.61,1107.76,1122.68,1108.11,-23.57,,,41.61,1124.48,1122.08
2002/2/8,1080.17,1096.3,1079.91,1096.22,1.49%,30.0,1105.99,1121.17,1104.4,-22.75,,,47.92,1121.68,1119.06
2002/2/11,1096.22,1112.01,1094.68,1111.94,1.43%,28.3,1106.9,1120.96,1102.29,-20.59,,,53.26,1119.04,1117.38
2002/2/12,1111.94,1112.68,1102.98,1107.5,-0.40%,26.67,1106.99,1120.82,1102.98,-19.01,,,51.65,1116.57,1115.83
2002/2/13,1107.5,1120.56,1107.5,1118.51,0.99%,24.9,1108.77,1120.8,1103.47,-16.69,,,55.26,1077.78,1114.45
2002/2/14,1118.51,1124.72,1112.3,1116.48,-0.18%,23.52,1109.95,1120.71,1102.1,-14.84,,,54.45,1078.64,1113.89
2002/2/15,1116.48,1117.09,1103.23,1104.18,-1.10%,22.06,1109.06,1120.23,1100.3,-14.2,,,49.71,1080.48,1112.16
2002/2/19,1104.18,1104.18,1082.24,1083.34,-1.89%,21.89,1105.11,1119.57,1099.19,-15.2,,,42.9,1124.72,1109.94
2002/2/20,1083.34,1098.32,1074.36,1097.98,1.35%,22.1,1104.01,1119.32,1099.98,-14.64,-17.94,3.3,48.26,1123.87,1108.88
2002/2/21,1097.98,1101.5,1080.24,1080.95,-1.55%,22.05,1100.46,1119.08,1099.73,-15.4,-17.43,2.04,43.18,1121.89,1106.52
2002/2/22,1080.95,1093.93,1074.39,1089.84,0.82%,22.29,1098.83,1118.72,1100.69,-15.1,-16.97,1.86,46.36,1119.99,1104.4
2002/2/25,1089.84,1112.71,1089.84,1109.43,1.80%,21.16,1100.46,1118.57,1102.02,-13.14,-16.2,3.06,52.64,1118.16,1103.21
2002/2/26,1109.43,1115.05,1101.72,1109.38,0.00%,19.97,1101.83,1118.51,1101.76,-11.45,-15.25,3.8,52.62,1116.41,1102.02
