model,window,esg_news_sentiment,ic,sharpe,mse,rmse,mae,direction_accuracy_percent,max_drawdown,win_rate_percent,metric_source
Bi-GRU,10d,no,0.0428,0.962,0.000110,0.010488,,,,,paper_table1_core_metrics_rmse_derived
Bi-GRU,10d,yes,0.0465,1.058,0.000109,0.010440,,,,,paper_table1_core_metrics_rmse_derived
Bi-GRU,20d,no,0.0399,0.903,0.000111,0.010536,,,,,paper_table1_core_metrics_rmse_derived
Bi-GRU,20d,yes,0.0427,0.972,0.000110,0.010488,,,,,paper_table1_core_metrics_rmse_derived
Bi-GRU,30d,no,0.0361,0.836,0.000113,0.010630,,,,,paper_table1_core_metrics_rmse_derived
Bi-GRU,30d,yes,0.0389,0.895,0.000114,0.010677,,,,,paper_table1_core_metrics_rmse_derived
Bi-LSTM,10d,no,0.0406,0.917,0.000112,0.010583,,,,,paper_table1_core_metrics_rmse_derived
Bi-LSTM,10d,yes,0.0431,0.981,0.000111,0.010536,,,,,paper_table1_core_metrics_rmse_derived
Bi-LSTM,20d,no,0.0374,0.861,0.000112,0.010583,,,,,paper_table1_core_metrics_rmse_derived
Bi-LSTM,20d,yes,0.0402,0.924,0.000114,0.010677,,,,,paper_table1_core_metrics_rmse_derived
Bi-LSTM,30d,no,0.0342,0.798,0.000115,0.010724,,,,,paper_table1_core_metrics_rmse_derived
Bi-LSTM,30d,yes,0.0369,0.859,0.000113,0.010630,,,,,paper_table1_core_metrics_rmse_derived
ExtraTrees,10d,no,0.0251,0.612,0.000118,0.010863,,,,,paper_table1_core_metrics_rmse_derived
ExtraTrees,10d,yes,0.0273,0.668,0.000116,0.010770,,,,,paper_table1_core_metrics_rmse_derived
ExtraTrees,20d,no,0.0229,0.566,0.000121,0.011000,,,,,paper_table1_core_metrics_rmse_derived
ExtraTrees,20d,yes,0.0250,0.621,0.000119,0.010909,,,,,paper_table1_core_metrics_rmse_derived
ExtraTrees,30d,no,0.0204,0.514,0.000124,0.011136,,,,,paper_table1_core_metrics_rmse_derived
ExtraTrees,30d,yes,0.0226,0.569,0.000125,0.011180,,,,,paper_table1_core_metrics_rmse_derived
LightGBM,10d,no,0.0298,0.704,0.000117,0.010817,,,,,paper_table1_core_metrics_rmse_derived
LightGBM,10d,yes,0.0327,0.771,0.000114,0.010677,,,,,paper_table1_core_metrics_rmse_derived
LightGBM,20d,no,0.0270,0.651,0.000120,0.010954,,,,,paper_table1_core_metrics_rmse_derived
LightGBM,20d,yes,0.0296,0.715,0.000119,0.010909,,,,,paper_table1_core_metrics_rmse_derived
LightGBM,30d,no,0.0241,0.594,0.000123,0.011091,,,,,paper_table1_core_metrics_rmse_derived
LightGBM,30d,yes,0.0268,0.657,0.000121,0.011000,,,,,paper_table1_core_metrics_rmse_derived
XGBoost,10d,no,0.0326,0.758,0.000115,0.010724,,,,,paper_table1_core_metrics_rmse_derived
XGBoost,10d,yes,0.0358,0.829,0.000112,0.010583,,,,,paper_table1_core_metrics_rmse_derived
XGBoost,20d,no,0.0299,0.706,0.000118,0.010863,,,,,paper_table1_core_metrics_rmse_derived
XGBoost,20d,yes,0.0324,0.773,0.000116,0.010770,,,,,paper_table1_core_metrics_rmse_derived
XGBoost,30d,no,0.0268,0.646,0.000121,0.011000,,,,,paper_table1_core_metrics_rmse_derived
XGBoost,30d,yes,0.0294,0.711,0.000122,0.011045,,,,,paper_table1_core_metrics_rmse_derived
